Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,DCGMI - DRAM Active,DCGMI - FP16 Active,DCGMI - FP32 Active,DCGMI - FP64 Active,DCGMI - GPU Utilization,DCGMI - GR Engine Active,DCGMI - Memory Copy Utilization,DCGMI - NVlink RX Bytes,DCGMI - NVlink TX Bytes,DCGMI - PCIE RX Bytes,DCGMI - PCIE RX Throughput,DCGMI - PCIE TX Bytes,DCGMI - PCIE TX Throughput,DCGMI - Power Usage,DCGMI - SM Occupancy,DCGMI - SN Active,DCGMI - Tensor Active,DCGMI - Total Energy Consumption,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-08-29 05:50:34,26.1min,fd9e0479c1514a788239476e438bd852,(0 0) handsome-koi-308,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,1e-05,0,'',0.19,0,0.28,0,38,0.693,19,0,0,111086846,0,19142640,0,45.484,0.301,0.825,0,1364273622593,0.76,8800,0.21,0,176.57,1724905001.383,101,0,52.88,199,0.1137883008356546,0.4583385617738211,2.3092799762199663,0.13777777777777778,0.46003916126041056,2.2768430709838867
2024-08-29 05:28:30,22.0min,91e68bee205f4708b2050c3b66b30bf6,(0 0) adventurous-hen-434,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,1e-05,0,'',0.027,0,0.148,0,0,0.094,0,0,0,22243429,0,3447653,0,44.757,0.194,0.497,0,1364124661251,0.87,4964,0.32,0,158.6,1724903428.212,100,0,52.88,199,0.20612813370473537,0.5404125777865649,2.196504262455723,0.24888888888888888,0.5426903406340203,2.1690926551818848
2024-08-29 05:02:17,26.2min,7649bd32731a4682a86ca005ac216658,(0 0) youthful-carp-277,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,1e-05,0,'',0.261,0,0.336,0,88,0.899,43,0,0,334417628,0,46347447,0,168.379,0.186,0.734,0,1363964576301,0.07,8802,0.03,0,45.18,1724902105.088,103,0,52.88,199,0.3221448467966574,0.7722478028600346,1.8236770218816296,0.36444444444444446,0.7942751178518295,1.7759445905685425
2024-08-29 04:40:12,22.0min,304a548da7aa4ff4be6259c05f26490d,(0 0) youthful-lamb-417,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,1e-05,0,'',0.035,0,0,0,0,0.131,0,0,0,29952567,0,4695919,0,44.795,0.287,0.797,0,1363814482883,0.84,4968,0.33,0,45.48,1724900531.235,102,0,52.88,199,0.401949860724234,0.8138181380572672,1.6666211872770076,0.4177777777777778,0.8266882783865528,1.6416295170783997
2024-08-29 04:13:57,26.2min,3b89149a778a4f4081b603663e41d5c3,(0 0) trusting-croc-374,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,0.0001,0,'',0.148,0,0.228,0,11,0.555,7,0,0,94650943,0,15921852,0,44.503,0.33,0.819,0,1363654549848,0.96,8800,0.44,0,163.24,1724899205.292,101,0,52.88,199,0.1137883008356546,0.45833898660487854,2.3092781099779853,0.13777777777777778,0.46003916126041056,2.276841163635254
2024-08-29 03:51:51,22.0min,9cee6fcb90f441269868e7c71677c312,(0 0) vaunted-boar-884,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,0.0001,0,'',0.048,0,0,0,0,0.167,0,0,0,42990670,0,6483399,0,44.99,0.221,0.758,0,1363504445689,0.87,4964,0.34,0,116.5,1724897631.116,101,0,52.88,199,0.20612813370473537,0.5404132133009956,2.1965027482886064,0.24888888888888888,0.5426903406340203,2.1690914630889893
2024-08-29 03:25:40,26.1min,bfc5612e023849e3aee533d432907184,(0 0) adaptable-crab-123,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,0.0001,0,'',0.212,0,0.311,0,100,0.789,25,0,0,118246316,0,20761018,0,45.67,0.286,0.813,0,1363344850992,0.99,8802,0.4,0,45.38,1724896305.936,102,0,52.88,199,0.3221448467966574,0.7722487147592929,1.8236831179980575,0.36444444444444446,0.7942751178518295,1.7759536504745483
2024-08-29 03:03:36,22.0min,70c17d46647f4799b046f8975ff79847,(0 0) traveling-flea-53,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.9,"'""-""'",organsmnist,pathmnist,0.0001,0,'',0.032,0,0.172,0,0,0.127,0,0,0,23613066,0,3900851,0,44.99,0.285,0.799,0,1363195108088,0.82,4968,0.31,0,157.55,1724894733.327,100,0,52.88,199,0.401949860724234,0.8138185799773819,1.6666354275586313,0.4177777777777778,0.8266882783865528,1.641646146774292
2024-08-29 02:37:20,26.2min,0d2387584a844bb680e9556d45643a11,(0 0) honorable-asp-62,PROJECT,/home/doju/medmnist_path,doju,FINISHED,256,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,0.001,0,'',0.211,0,0.313,0,52,0.791,24,0,0,118334827,0,20744997,0,45.573,0.288,0.814,0,1363034595332,0.97,8800,0.34,0,155.6,1724893409.83,101,0,52.88,199,0.1137883008356546,0.45835068034478227,2.309248151450322,0.13777777777777778,0.46003916126041056,2.2768142223358154
2024-08-29 02:15:17,22.0min,706433c8d3a94791bc60c6e92f476142,(0 0) gentle-hawk-241,PROJECT,/home/doju/medmnist_path,doju,FINISHED,128,200,fine-tuning.py,0,smi+top+dcgmi,0.0001,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,pathmnist,0.001,0,'',0.03,0,0.152,0,0,0.115,0,0,0,23801633,0,3800293,0,44.901,0.274,0.759,0,1362884962379,0.82,4964,0.31,0,63.4,1724891834.274,101,0,52.88,199,0.20612813370473537,0.540427333291261,2.196473012890732,0.24888888888888888,0.5427142560690421,2.1690680980682373
